"price","date"
17527,"1992-04-24"
17391,"1992-04-27"
17303,"1992-04-28"
17879,"1992-04-30"
18411,"1992-05-01"
18376,"1992-05-07"
18608,"1992-05-08"
18509,"1992-05-11"
18769,"1992-05-12"
18805,"1992-05-13"
18074,"1992-05-14"
18443,"1992-05-15"
18754,"1992-05-18"
18675,"1992-05-19"
18691,"1992-05-20"
18221,"1992-05-21"
18555,"1992-05-22"
18205,"1992-05-25"
17823,"1992-05-26"
17931,"1992-05-27"
18348,"1992-05-28"
18004,"1992-05-29"
18126,"1992-06-01"
18189,"1992-06-02"
17964,"1992-06-03"
17790,"1992-06-04"
17655,"1992-06-05"
17845,"1992-06-08"
17743,"1992-06-09"
17709,"1992-06-10"
17384,"1992-06-11"
16953,"1992-06-12"
16954,"1992-06-15"
16446,"1992-06-16"
16046,"1992-06-17"
16520,"1992-06-18"
15921,"1992-06-19"
16107,"1992-06-22"
15854,"1992-06-23"
16144,"1992-06-24"
15813,"1992-06-25"
15741,"1992-06-26"
15952,"1992-06-29"
16325,"1992-06-30"
16758,"1992-07-01"
16718,"1992-07-02"
16657,"1992-07-03"
16460,"1992-07-06"
16600,"1992-07-07"
16849,"1992-07-08"
16784,"1992-07-09"
17202,"1992-07-10"
17065,"1992-07-13"
17117,"1992-07-14"
16988,"1992-07-15"
16548,"1992-07-16"
15884,"1992-07-17"
16002,"1992-07-20"
15542,"1992-07-21"
16040,"1992-07-22"
15498,"1992-07-23"
15373,"1992-07-24"
15427,"1992-07-27"
15096,"1992-07-28"
15556,"1992-07-29"
15910,"1992-07-30"
15709,"1992-07-31"
15693,"1992-08-03"
15984,"1992-08-04"
15926,"1992-08-05"
15518,"1992-08-06"
15066,"1992-08-07"
14823,"1992-08-10"
14774,"1992-08-11"
14768,"1992-08-12"
14820,"1992-08-13"
14930,"1992-08-14"
14309,"1992-08-17"
14651,"1992-08-18"
15268,"1992-08-19"
16217,"1992-08-20"
16628,"1992-08-21"
16381,"1992-08-24"
16542,"1992-08-25"
17555,"1992-08-26"
17971,"1992-08-27"
18061,"1992-08-28"
17740,"1992-08-31"
17588,"1992-09-01"
18386,"1992-09-02"
18555,"1992-09-03"
18440,"1992-09-04"
18282,"1992-09-07"
18876,"1992-09-08"
18908,"1992-09-09"
18108,"1992-09-10"
18471,"1992-09-11"
17945,"1992-09-14"
18117,"1992-09-16"
18167,"1992-09-17"
